,state,county,fips,SUMLEV,REGION,DIVISION,Population,pop2019_18plus,hosp_cap,Days to Hospital Capacity,Total Deaths,Total Deaths per 100k,14-Day Avg Daily Deaths,14-Day Avg Daily Deaths per 100k,deaths_trend,Total Cases,Total Cases per 100k,14-Day Avg Daily Cases,14-Day Avg Daily Cases per 100k,cases_trend,Positivity Rate,positivity_trend,Hospitalized,Hospitalized per 100k,hospconcur_trend,14-Day Avg Daily Hosp Admits,14-Day Avg Daily Hosp Admits per 100k,hospadmits_trend,Model Est'd Active Infections,Model Est'd Active Infections per 100k,Current Reproduction Rate (Rt),"Vaccine Hesitant, % of Adults",Daily Vaccines Initiated,"Vaccines Initiated, % of Pop.","Vaccine & Acquired Immunity, % of Pop.",Forecasted Date Herd Immunity Achieved,Hyp. Pre-Immunity Rt,Riskiest State Rank,State,hosp_temp
0,AK,Alaska,02000,40.0,4.0,9.0,"731,545",551584.93,538.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>",374,51,0.3▶,0.0▶,▶,"113,866","15,565",17.0▶,"<span style=""color:transparent; font-size:0;"">00000002.3</span>2.3▶",▶,"<span style=""color:transparent; font-size:0;"">0000003.0%</span>3.0%▲",▲,35▲,"<span style=""color:transparent; font-size:0;"">0000004.78</span>4.78▲",▲,5.21▲,0.71▲,▲,"3,997",546,"<span style=""color:transparent; font-size:0;"">001.15</span>1.15<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000020%</span>20%","<span style=""color:transparent; font-size:0;"">0000000476</span>476","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">000000058%</span>58%","<span style=""color:transparent; font-size:0;"">210830</span>August 30, 2021",2.84,1,"<a href=""/forecasts/AK"" target=""_top"">Alaska</a>",
1,AR,Arkansas,05000,40.0,3.0,7.0,"3,017,804",2317673.472,2571.0,"<span style=""color:transparent; font-size:0;"">048</span>48<span style=""color: #ffcc00""> ▶</span>","5,977",198,4.9▲,0.2▲,▲,"242,818","8,046",255.9▲,"<span style=""color:transparent; font-size:0;"">00000008.5</span>8.5▲",▲,"<span style=""color:transparent; font-size:0;"">0000009.4%</span>9.4%▲",▲,522▲,"<span style=""color:transparent; font-size:0;"">0000017.30</span>17.30▲",▲,181.86▲,6.03▲,▲,"12,053",399,"<span style=""color:transparent; font-size:0;"">001.20</span>1.20<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000021%</span>21%","<span style=""color:transparent; font-size:0;"">000003,139</span>3,139","<span style=""color:transparent; font-size:0;"">000000043%</span>43%","<span style=""color:transparent; font-size:0;"">000000048%</span>48%","<span style=""color:transparent; font-size:0;"">210914</span>September 14, 2021",2.37,2,"<a href=""/forecasts/AR"" target=""_top"">Arkansas</a>",48.0
2,NV,Nevada,32000,40.0,4.0,8.0,"3,080,156",2387120.9,2251.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","5,737",186,4.0▶,0.1▶,▶,"458,268","14,878",503.5▲,"<span style=""color:transparent; font-size:0;"">00000016.3</span>16.3▲",▲,"<span style=""color:transparent; font-size:0;"">0000013.8%</span>13.8%▲",▲,672▲,"<span style=""color:transparent; font-size:0;"">0000021.82</span>21.82▲",▲,143.07▲,4.64▲,▲,"10,532",342,"<span style=""color:transparent; font-size:0;"">001.11</span>1.11<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000019%</span>19%","<span style=""color:transparent; font-size:0;"">000003,476</span>3,476","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">000000054%</span>54%","<span style=""color:transparent; font-size:0;"">210904</span>September 04, 2021",2.31,3,"<a href=""/forecasts/NV"" target=""_top"">Nevada</a>",
3,FL,Florida,12000,40.0,3.0,5.0,"21,477,737",17246622.811,12899.0,"<span style=""color:transparent; font-size:0;"">029</span>29<span style=""color: #ffcc00""> ▶</span>","38,327",178,29.6▶,0.1▶,▶,"2,933,183","13,657","2,844.1▲","<span style=""color:transparent; font-size:0;"">00000013.2</span>13.2▲",▲,"<span style=""color:transparent; font-size:0;"">0000008.0%</span>8.0%▲",▲,"2,828▲","<span style=""color:transparent; font-size:0;"">0000013.17</span>13.17▲",▲,609.21▲,2.84▲,▲,"68,010",317,"<span style=""color:transparent; font-size:0;"">001.35</span>1.35<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000020%</span>20%","<span style=""color:transparent; font-size:0;"">000022,479</span>22,479","<span style=""color:transparent; font-size:0;"">000000055%</span>55%","<span style=""color:transparent; font-size:0;"">000000056%</span>56%","<span style=""color:transparent; font-size:0;"">210908</span>September 08, 2021",3.14,4,"<a href=""/forecasts/FL"" target=""_top"">Florida</a>",29.0
4,DC,District of Columbia,11000,40.0,3.0,5.0,"705,749",577302.6819999999,559.0,"<span style=""color:transparent; font-size:0;"">063</span>63<span style=""color: #ffcc00""> ▶</span>","1,145",162,0.3▶,0.0▶,▶,"69,666","9,871",20.6▶,"<span style=""color:transparent; font-size:0;"">00000002.9</span>2.9▶",▶,"<span style=""color:transparent; font-size:0;"">0000000.9%</span>0.9%▶",▶,38▼,"<span style=""color:transparent; font-size:0;"">0000005.38</span>5.38▼",▼,56.57▼,8.02▼,▼,"2,225",315,"<span style=""color:transparent; font-size:0;"">001.44</span>1.44<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000010%</span>10%","<span style=""color:transparent; font-size:0;"">0000000607</span>607","<span style=""color:transparent; font-size:0;"">000000062%</span>62%","<span style=""color:transparent; font-size:0;"">000000061%</span>61%","<span style=""color:transparent; font-size:0;"">210904</span>September 04, 2021",3.51,5,"<a href=""/forecasts/DC"" target=""_top"">District of Columbia</a>",63.0
5,HI,Hawaii,15000,40.0,4.0,9.0,"1,415,872",1115707.136,814.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>",518,37,0.3▶,0.0▶,▶,"42,341","2,990",54.5▶,"<span style=""color:transparent; font-size:0;"">00000003.8</span>3.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.3%</span>2.3%▶",▶,56▶,"<span style=""color:transparent; font-size:0;"">0000003.96</span>3.96▶",▶,15.79▲,1.11▲,▲,"4,390",310,"<span style=""color:transparent; font-size:0;"">001.18</span>1.18<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000010%</span>10%","<span style=""color:transparent; font-size:0;"">0000000649</span>649","<span style=""color:transparent; font-size:0;"">000000070%</span>70%","<span style=""color:transparent; font-size:0;"">000000072%</span>72%","<span style=""color:transparent; font-size:0;"">210818</span>August 18, 2021",3.99,6,"<a href=""/forecasts/HI"" target=""_top"">Hawaii</a>",
6,MO,Missouri,29000,40.0,2.0,4.0,"6,137,428",4768781.556,3935.0,"<span style=""color:transparent; font-size:0;"">060</span>60<span style=""color: #ffcc00""> ▶</span>","9,463",154,10.6▲,0.2▲,▲,"678,166","11,050",620.7▼,"<span style=""color:transparent; font-size:0;"">00000010.1</span>10.1▼",▼,"<span style=""color:transparent; font-size:0;"">0000011.2%</span>11.2%▲",▲,"1,249▲","<span style=""color:transparent; font-size:0;"">0000020.35</span>20.35▲",▲,298.14▲,4.86▲,▲,"18,181",296,"<span style=""color:transparent; font-size:0;"">001.10</span>1.10<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000006,054</span>6,054","<span style=""color:transparent; font-size:0;"">000000046%</span>46%","<span style=""color:transparent; font-size:0;"">000000052%</span>52%","<span style=""color:transparent; font-size:0;"">211022</span>October 22, 2021",2.30,7,"<a href=""/forecasts/MO"" target=""_top"">Missouri</a>",60.0
7,GA,Georgia,13000,40.0,3.0,5.0,"10,617,423",8111711.172,4414.0,"<span style=""color:transparent; font-size:0;"">028</span>28<span style=""color: red""> 🟥</span>","21,527",203,7.4▼,0.1▼,▼,"845,823","7,966",237.5▶,"<span style=""color:transparent; font-size:0;"">00000002.2</span>2.2▶",▶,"<span style=""color:transparent; font-size:0;"">0000003.1%</span>3.1%▶",▶,718▶,"<span style=""color:transparent; font-size:0;"">0000006.76</span>6.76▶",▶,223.29▲,2.10▲,▲,"29,655",279,"<span style=""color:transparent; font-size:0;"">001.33</span>1.33<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000022%</span>22%","<span style=""color:transparent; font-size:0;"">000007,719</span>7,719","<span style=""color:transparent; font-size:0;"">000000044%</span>44%","<span style=""color:transparent; font-size:0;"">000000049%</span>49%","<span style=""color:transparent; font-size:0;"">210911</span>September 11, 2021",3.03,8,"<a href=""/forecasts/GA"" target=""_top"">Georgia</a>",28.0
8,IL,Illinois,17000,40.0,2.0,3.0,"12,671,821",9858676.738,8851.0,"<span style=""color:transparent; font-size:0;"">061</span>61<span style=""color: #ffcc00""> ▶</span>","25,803",204,9.2▶,0.1▶,▶,"1,378,486","10,878",350.7▶,"<span style=""color:transparent; font-size:0;"">00000002.8</span>2.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.8%</span>1.8%▶",▶,509▶,"<span style=""color:transparent; font-size:0;"">0000004.02</span>4.02▶",▶,312.79▶,2.47▶,▶,"35,120",277,"<span style=""color:transparent; font-size:0;"">001.37</span>1.37<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000010,889</span>10,889","<span style=""color:transparent; font-size:0;"">000000061%</span>61%","<span style=""color:transparent; font-size:0;"">000000062%</span>62%","<span style=""color:transparent; font-size:0;"">210908</span>September 08, 2021",3.87,9,"<a href=""/forecasts/IL"" target=""_top"">Illinois</a>",61.0
9,MS,Mississippi,28000,40.0,3.0,6.0,"2,976,149",2276753.985,3102.0,"<span style=""color:transparent; font-size:0;"">033</span>33<span style=""color: #ffcc00""> ▶</span>","7,460",251,2.1▲,0.1▲,▲,"160,667","5,398",83.1▲,"<span style=""color:transparent; font-size:0;"">00000002.8</span>2.8▲",▲,"<span style=""color:transparent; font-size:0;"">0000007.4%</span>7.4%▲",▲,272▲,"<span style=""color:transparent; font-size:0;"">0000009.14</span>9.14▲",▲,70.14▲,2.36▲,▲,"8,223",276,"<span style=""color:transparent; font-size:0;"">001.37</span>1.37<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000027%</span>27%","<span style=""color:transparent; font-size:0;"">000002,033</span>2,033","<span style=""color:transparent; font-size:0;"">000000037%</span>37%","<span style=""color:transparent; font-size:0;"">000000042%</span>42%","<span style=""color:transparent; font-size:0;"">210908</span>September 08, 2021",2.77,10,"<a href=""/forecasts/MS"" target=""_top"">Mississippi</a>",33.0
